Project_ID,Project_Name,project_letter,Stage,Center,Group_ES,Value,Mean,SD,n,Subgroup,Treatment,planned_EU_total,planned_EU_per_group
"A","A","A","exploratory","Center_1","Ctrl",11.6011085640137,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",12.3804132539814,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",6.62088867194241,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",12.4789917719968,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",9.78206805536903,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",9.76551607642408,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",10.3661652276769,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",12.5611097564033,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",6.54545874226572,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",13.3803687072919,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",11.0076248943102,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",15.0566731014082,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",11.0981934712711,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",10.4764258415881,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",7.90221371282692,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",12.5895265091683,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",11.6510796877487,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",9.88862797655988,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",8.43123556482364,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Ctrl",8.53299355481702,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Treated",11.3301744845733,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Treated",9.82860172939413,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Treated",11.8291534711317,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Treated",14.1412210765429,NA,NA,NA,NA,"DummyTreatment",NA,NA
"A","A","A","exploratory","Center_1","Treated",11.7092128980146,NA,NA,NA,NA,"DummyTreatment",NA,NA
